event_date,event_ts,component,vessel,vessel_imo,counterparty,counterparty_imo,sts_zone,grade,origin_bucket,volume_bbl,notes
2026-07-27,2026-07-27 00:17:00,named_sts_giver_not_soh,Tony,9432036,Ocean Loyalty,9375238.0,Fujairah Light,Murban,unknown,999998,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
2026-07-22,2026-07-22 03:19:00,named_sts_giver_not_soh,Odessa,9633458,Gulf Loyalty,9441245.0,Fujairah Light,Das,unknown,888555,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
2026-07-20,2026-07-20 06:18:00,named_sts_giver_not_soh,Front Silkeborg,9832274,Gulf Loyalty,9441245.0,Fujairah Light,Das,unknown,1011445,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
2026-07-18,2026-07-18 15:39:00,named_sts_giver_not_soh,Mardan,9360453,Ocean Loyalty,9375238.0,Fujairah Light,Das,hormuz_side_load,599997,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
2026-07-14,2026-07-14 16:16:00,named_sts_giver_not_soh,Resilient Warrior,9856359,Malaysia Prosperity,9395305.0,Sohar Light,Das,unknown,1000004,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
2026-07-11,2026-07-11 01:39:00,named_sts_giver_not_soh,Captain A Stellatos,9439670,Ocean Loyalty,9375238.0,Sohar Light,Das,unknown,709572,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
2026-07-04,2026-07-04 00:17:00,named_sts_giver_not_soh,New Achievement,9686340,Malaysia Prosperity,9395305.0,Fujairah Light,ME,unknown,2000002,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
2026-07-02,2026-07-02 03:39:00,named_sts_giver_not_soh,Tunisia Prosperity,9568809,Alexandros,9905459.0,Fujairah Light,Merey,hormuz_side_load,1959999,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
2026-06-30,2026-06-30 22:18:00,named_sts_giver_not_soh,Mardan,9360453,Ocean Loyalty,9375238.0,Fujairah Light,Umm Lulu,hormuz_side_load,646535,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
2026-06-23,2026-06-23 10:18:00,named_sts_giver_not_soh,Mardan,9360453,Ocean Loyalty,9375238.0,Fujairah Light,Umm Lulu,hormuz_side_load,563114,Giver not in SoH exits; receiver also not a known SoH exit; excl. east-coast load
